"STATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"US1TXTV0255","2018-01-01","0.06",,,,
"US1TXTV0255","2018-01-03","0.00",,,,
"US1TXTV0255","2018-01-10","0.00",,,,
"US1TXTV0255","2018-01-11","0.00",,,,
"US1TXTV0255","2018-01-13","0.00",,,,
"US1TXTV0255","2018-01-14","0.00",,,,
"US1TXTV0255","2018-01-16","0.22",,,,
"US1TXTV0255","2018-01-18","0.00",,,,
"US1TXTV0255","2018-01-21","0.00",,,,
"US1TXTV0255","2018-01-26","0.00",,,,
"US1TXTV0255","2018-02-02","0.00",,,,
"US1TXTV0255","2018-02-03","0.00",,,,
"US1TXTV0255","2018-02-04","0.06",,,,
"US1TXTV0255","2018-02-05","0.00",,,,
"US1TXTV0255","2018-02-06","0.00",,,,
"US1TXTV0255","2018-02-07","0.04",,,,
"US1TXTV0255","2018-02-11","0.01",,,,
"US1TXTV0255","2018-02-12","0.06",,,,
"US1TXTV0255","2018-02-14","0.03",,,,
"US1TXTV0255","2018-02-15","0.00",,,,
"US1TXTV0255","2018-02-18","0.00",,,,
"US1TXTV0255","2018-02-20","0.02",,,,
"US1TXTV0255","2018-02-21","0.30",,,,
"US1TXTV0255","2018-02-23","0.56",,,,
"US1TXTV0255","2018-02-24","0.02",,,,
"US1TXTV0255","2018-03-01","0.09",,,,
"US1TXTV0255","2018-03-03","0.00",,,,
"US1TXTV0255","2018-03-04","0.19",,,,
"US1TXTV0255","2018-03-28","2.26",,,,
"US1TXTV0255","2018-03-29","0.79",,,,
"US1TXTV0255","2018-04-26","0.68",,,,
"US1TXTV0255","2018-05-05","2.87",,,,
"US1TXTV0255","2018-05-21","1.13",,,,
"US1TXTV0255","2018-06-04","0.21",,,,
"US1TXTV0255","2018-06-17","0.19",,,,
"US1TXTV0255","2018-06-20","0.20",,,,
"US1TXTV0255","2018-08-12","0.12",,,,
"US1TXTV0255","2018-09-04","1.22",,,,
"US1TXTV0255","2018-09-08","1.50",,,,
"US1TXTV0255","2018-09-09","3.95",,,,
"US1TXTV0255","2018-09-12","0.88",,,,
"US1TXTV0255","2018-09-15","0.83",,,,
"US1TXTV0255","2018-09-22","0.84",,,,
"US1TXTV0255","2018-10-08","0.19",,,,
"US1TXTV0255","2018-10-09","0.93",,,,
"US1TXTV0255","2018-10-15","0.73",,,,
"US1TXTV0255","2018-10-17","1.44",,,,
"US1TXTV0255","2018-11-09","1.34",,,,
"US1TXTV0255","2018-12-07","1.05",,,,
"US1TXTV0255","2018-12-08","1.84",,,,
"US1TXTV0255","2018-12-26","0.00",,,,
"US1TXTV0255","2018-12-27","3.41",,,,
"US1TXTV0255","2018-12-30","0.08",,,,
"US1TXTV0255","2018-12-31","0.36",,,,
"US1TXTV0332","2018-12-27","2.49",,,,
"US1TXTV0332","2018-12-28","0.00","0.0",,,
"US1TXTV0332","2018-12-29","0.00","0.0",,,
"US1TXTV0332","2018-12-30","0.00",,,,
"US1TXTV0332","2018-12-31","0.26",,,,
"US1TXTV0059","2018-01-01","0.01",,,,
"US1TXTV0059","2018-01-02","0.00","0.0",,,
"US1TXTV0059","2018-01-03","0.00",,,,
"US1TXTV0059","2018-01-04","0.00","0.0",,,
"US1TXTV0059","2018-01-05","0.00","0.0",,,
"US1TXTV0059","2018-01-06","0.00","0.0",,,
"US1TXTV0059","2018-01-07","0.00","0.0",,,
"US1TXTV0059","2018-01-08","0.00",,,,
"US1TXTV0059","2018-01-09","0.00","0.0",,,
"US1TXTV0059","2018-01-10","0.00",,,,
"US1TXTV0059","2018-01-11","0.01",,,,
"US1TXTV0059","2018-01-12","0.00","0.0",,,
"US1TXTV0059","2018-01-13","0.00","0.0",,,
"US1TXTV0059","2018-01-14","0.00","0.0",,,
"US1TXTV0059","2018-01-15","0.00","0.0",,,
"US1TXTV0059","2018-01-16","0.24",,,,
"US1TXTV0059","2018-02-03",,,,,
"US1TXTV0059","2018-02-04","0.00","0.0",,,
"US1TXTV0059","2018-02-05","0.00","0.0",,,
"US1TXTV0059","2018-02-06","0.01",,,,
"US1TXTV0059","2018-02-10",,,,,
"US1TXTV0059","2018-02-18",,,,,
"US1TXTV0059","2018-02-23",,,,,
"US1TXTV0059","2018-03-02",,,,,
"US1TXTV0059","2018-03-03","0.00","0.0",,,
"US1TXTV0059","2018-03-04","0.16",,,,
"US1TXTV0059","2018-03-05","0.00",,,,
"US1TXTV0059","2018-03-06","0.00","0.0",,,
"US1TXTV0059","2018-03-07","0.00","0.0",,,
"US1TXTV0059","2018-03-08","0.00","0.0",,,
"US1TXTV0059","2018-03-09","0.00","0.0",,,
"US1TXTV0059","2018-03-10","0.00","0.0",,,
"US1TXTV0059","2018-03-11","0.00","0.0",,,
"US1TXTV0059","2018-03-12","0.00","0.0",,,
"US1TXTV0059","2018-03-13","0.00","0.0",,,
"US1TXTV0059","2018-03-14","0.00","0.0",,,
"US1TXTV0059","2018-03-15","0.00","0.0",,,
"US1TXTV0059","2018-03-16","0.00","0.0",,,
"US1TXTV0059","2018-03-17","0.00","0.0",,,
"US1TXTV0059","2018-03-18","0.02",,,,
"US1TXTV0059","2018-03-19","0.01",,,,
"US1TXTV0059","2018-03-20","0.00","0.0",,,
"US1TXTV0059","2018-03-21","0.00","0.0",,,
"US1TXTV0059","2018-03-22","0.00","0.0",,,
"US1TXTV0059","2018-03-23","0.00","0.0",,,
"US1TXTV0059","2018-03-24","0.00","0.0",,,
"US1TXTV0059","2018-03-25","0.01",,,,
"US1TXTV0059","2018-03-26","0.00","0.0",,,
"US1TXTV0059","2018-03-27","0.00","0.0",,,
"US1TXTV0059","2018-03-28","2.66",,,,
"US1TXTV0059","2018-03-29","0.60",,,,
"US1TXTV0059","2018-03-30","0.01",,,,
"US1TXTV0059","2018-03-31","0.00","0.0",,,
"US1TXTV0059","2018-04-01","0.00","0.0",,,
"US1TXTV0059","2018-04-02","0.00","0.0",,,
"US1TXTV0059","2018-04-03","0.00","0.0",,,
"US1TXTV0059","2018-04-04","0.00","0.0",,,
"US1TXTV0059","2018-04-05","0.00","0.0",,,
"US1TXTV0059","2018-04-06","0.00",,,,
"US1TXTV0059","2018-04-07","0.28",,,,
"US1TXTV0059","2018-04-08","0.00",,,,
"US1TXTV0059","2018-04-09","0.00","0.0",,,
"US1TXTV0059","2018-04-10","0.00","0.0",,,
"US1TXTV0059","2018-04-11","0.00","0.0",,,
"US1TXTV0059","2018-04-12","0.00","0.0",,,
