"STATION","DATE","TAVG","TMAX","TMIN","TOBS"
"US1TXTV0255","2018-01-01",,,,
"US1TXTV0255","2018-01-03",,,,
"US1TXTV0255","2018-01-10",,,,
"US1TXTV0255","2018-01-11",,,,
"US1TXTV0255","2018-01-13",,,,
"US1TXTV0255","2018-01-14",,,,
"US1TXTV0255","2018-01-16",,,,
"US1TXTV0255","2018-01-18",,,,
"US1TXTV0255","2018-01-21",,,,
"US1TXTV0255","2018-01-26",,,,
"US1TXTV0255","2018-02-02",,,,
"US1TXTV0255","2018-02-03",,,,
"US1TXTV0255","2018-02-04",,,,
"US1TXTV0255","2018-02-05",,,,
"US1TXTV0255","2018-02-06",,,,
"US1TXTV0255","2018-02-07",,,,
"US1TXTV0255","2018-02-11",,,,
"US1TXTV0255","2018-02-12",,,,
"US1TXTV0255","2018-02-14",,,,
"US1TXTV0255","2018-02-15",,,,
"US1TXTV0255","2018-02-18",,,,
"US1TXTV0255","2018-02-20",,,,
"US1TXTV0255","2018-02-21",,,,
"US1TXTV0255","2018-02-23",,,,
"US1TXTV0255","2018-02-24",,,,
"US1TXTV0255","2018-03-01",,,,
"US1TXTV0255","2018-03-03",,,,
"US1TXTV0255","2018-03-04",,,,
"US1TXTV0255","2018-03-28",,,,
"US1TXTV0255","2018-03-29",,,,
"US1TXTV0255","2018-04-26",,,,
"US1TXTV0255","2018-05-05",,,,
"US1TXTV0255","2018-05-21",,,,
"US1TXTV0255","2018-06-04",,,,
"US1TXTV0255","2018-06-17",,,,
"US1TXTV0255","2018-06-20",,,,
"US1TXTV0255","2018-08-12",,,,
"US1TXTV0255","2018-09-04",,,,
"US1TXTV0255","2018-09-08",,,,
"US1TXTV0255","2018-09-09",,,,
"US1TXTV0255","2018-09-12",,,,
"US1TXTV0255","2018-09-15",,,,
"US1TXTV0255","2018-09-22",,,,
"US1TXTV0255","2018-10-08",,,,
"US1TXTV0255","2018-10-09",,,,
"US1TXTV0255","2018-10-15",,,,
"US1TXTV0255","2018-10-17",,,,
"US1TXTV0255","2018-11-09",,,,
"US1TXTV0255","2018-12-07",,,,
"US1TXTV0255","2018-12-08",,,,
"US1TXTV0255","2018-12-26",,,,
"US1TXTV0255","2018-12-27",,,,
"US1TXTV0255","2018-12-30",,,,
"US1TXTV0255","2018-12-31",,,,
"US1TXTV0332","2018-12-27",,,,
"US1TXTV0332","2018-12-28",,,,
"US1TXTV0332","2018-12-29",,,,
"US1TXTV0332","2018-12-30",,,,
"US1TXTV0332","2018-12-31",,,,
"US1TXTV0059","2018-01-01",,,,
"US1TXTV0059","2018-01-02",,,,
"US1TXTV0059","2018-01-03",,,,
"US1TXTV0059","2018-01-04",,,,
"US1TXTV0059","2018-01-05",,,,
"US1TXTV0059","2018-01-06",,,,
"US1TXTV0059","2018-01-07",,,,
"US1TXTV0059","2018-01-08",,,,
"US1TXTV0059","2018-01-09",,,,
